hour,month,day,hour_of_day,T_drybulb_F
0,1,1,0,35.1
1,1,1,1,35.1
2,1,1,2,34.0
3,1,1,3,34.0
4,1,1,4,34.0
5,1,1,5,34.0
6,1,1,6,33.1
7,1,1,7,33.1
8,1,1,8,33.1
9,1,1,9,32.0
10,1,1,10,34.0
11,1,1,11,34.0
12,1,1,12,36.0
13,1,1,13,37.0
14,1,1,14,37.0
15,1,1,15,36.0
16,1,1,16,34.0
17,1,1,17,32.0
18,1,1,18,30.0
19,1,1,19,28.0
20,1,1,20,26.1
21,1,1,21,24.1
22,1,1,22,21.9
23,1,1,23,19.9
24,1,2,0,19.9
25,1,2,1,19.0
26,1,2,2,18.0
27,1,2,3,18.0
28,1,2,4,18.0
29,1,2,5,17.1
30,1,2,6,17.1
31,1,2,7,17.1
32,1,2,8,19.0
33,1,2,9,21.9
34,1,2,10,24.1
35,1,2,11,26.1
36,1,2,12,28.9
37,1,2,13,30.0
38,1,2,14,30.0
39,1,2,15,28.9
40,1,2,16,28.9
41,1,2,17,28.9
42,1,2,18,28.9
43,1,2,19,28.9
44,1,2,20,30.0
45,1,2,21,30.9
46,1,2,22,30.9
47,1,2,23,30.9
48,1,3,0,32.0
49,1,3,1,32.0
50,1,3,2,33.1
51,1,3,3,33.1
52,1,3,4,34.0
53,1,3,5,34.0
54,1,3,6,34.0
55,1,3,7,34.0
56,1,3,8,35.1
57,1,3,9,35.1
58,1,3,10,36.0
59,1,3,11,36.0
60,1,3,12,37.0
61,1,3,13,37.9
62,1,3,14,37.9
63,1,3,15,37.9
64,1,3,16,39.0
65,1,3,17,41.0
66,1,3,18,42.1
67,1,3,19,41.0
68,1,3,20,39.9
69,1,3,21,39.9
70,1,3,22,39.0
71,1,3,23,37.9
72,1,4,0,37.0
73,1,4,1,35.1
74,1,4,2,35.1
75,1,4,3,34.0
76,1,4,4,34.0
77,1,4,5,33.1
78,1,4,6,33.1
79,1,4,7,37.9
80,1,4,8,33.1
81,1,4,9,32.0
82,1,4,10,32.0
83,1,4,11,32.0
84,1,4,12,33.1
85,1,4,13,33.1
86,1,4,14,33.1
87,1,4,15,32.0
88,1,4,16,30.0
89,1,4,17,28.0
90,1,4,18,26.1
91,1,4,19,25.0
92,1,4,20,23.0
93,1,4,21,21.9
94,1,4,22,21.0
95,1,4,23,19.0
96,1,5,0,18.0
97,1,5,1,17.1
98,1,5,2,16.0
99,1,5,3,15.1
100,1,5,4,15.1
101,1,5,5,14.0
102,1,5,6,14.0
103,1,5,7,14.0
104,1,5,8,14.0
105,1,5,9,15.1
106,1,5,10,17.1
107,1,5,11,19.0
108,1,5,12,19.9
109,1,5,13,21.9
110,1,5,14,23.0
111,1,5,15,21.9
112,1,5,16,19.9
113,1,5,17,19.0
114,1,5,18,18.0
115,1,5,19,17.1
116,1,5,20,16.0
117,1,5,21,16.0
118,1,5,22,15.1
119,1,5,23,14.0
120,1,6,0,12.9
121,1,6,1,12.9
122,1,6,2,12.9
123,1,6,3,12.0
124,1,6,4,12.9
125,1,6,5,12.0
126,1,6,6,12.0
127,1,6,7,12.9
128,1,6,8,16.0
129,1,6,9,19.9
130,1,6,10,23.0
131,1,6,11,25.0
132,1,6,12,27.0
133,1,6,13,28.9
134,1,6,14,28.9
135,1,6,15,30.0
136,1,6,16,30.0
137,1,6,17,30.0
138,1,6,18,28.9
139,1,6,19,28.9
140,1,6,20,28.0
141,1,6,21,28.0
142,1,6,22,28.0
143,1,6,23,28.0
144,1,7,0,28.9
145,1,7,1,28.9
146,1,7,2,28.9
147,1,7,3,30.0
148,1,7,4,30.9
149,1,7,5,30.9
150,1,7,6,30.9
151,1,7,7,32.0
152,1,7,8,33.1
153,1,7,9,35.1
154,1,7,10,37.9
155,1,7,11,39.9
156,1,7,12,41.0
157,1,7,13,42.1
158,1,7,14,42.1
159,1,7,15,42.1
160,1,7,16,42.1
161,1,7,17,41.0
162,1,7,18,41.0
163,1,7,19,41.0
164,1,7,20,41.0
165,1,7,21,39.9
166,1,7,22,39.9
167,1,7,23,39.9
168,1,8,0,39.0
169,1,8,1,39.9
170,1,8,2,39.9
171,1,8,3,37.0
172,1,8,4,36.0
173,1,8,5,36.0
174,1,8,6,36.0
175,1,8,7,36.0
176,1,8,8,36.0
177,1,8,9,36.0
178,1,8,10,35.1
179,1,8,11,36.0
180,1,8,12,35.1
181,1,8,13,34.0
182,1,8,14,32.0
183,1,8,15,30.0
184,1,8,16,28.9
185,1,8,17,27.0
186,1,8,18,24.1
187,1,8,19,23.0
188,1,8,20,21.0
189,1,8,21,19.9
190,1,8,22,19.0
191,1,8,23,18.0
192,1,9,0,17.1
193,1,9,1,16.0
194,1,9,2,14.0
195,1,9,3,12.0
196,1,9,4,12.0
197,1,9,5,10.9
198,1,9,6,10.9
199,1,9,7,10.9
200,1,9,8,14.0
201,1,9,9,16.0
202,1,9,10,19.0
203,1,9,11,21.9
204,1,9,12,24.1
205,1,9,13,26.1
206,1,9,14,25.0
207,1,9,15,24.1
208,1,9,16,24.1
209,1,9,17,23.0
210,1,9,18,23.0
211,1,9,19,21.9
212,1,9,20,21.0
213,1,9,21,19.9
214,1,9,22,19.9
215,1,9,23,19.0
216,1,10,0,19.0
217,1,10,1,18.0
218,1,10,2,18.0
219,1,10,3,18.0
220,1,10,4,18.0
221,1,10,5,17.1
222,1,10,6,16.0
223,1,10,7,16.0
224,1,10,8,17.1
225,1,10,9,19.0
226,1,10,10,21.9
227,1,10,11,23.0
228,1,10,12,24.1
229,1,10,13,24.1
230,1,10,14,24.1
231,1,10,15,24.1
232,1,10,16,23.0
233,1,10,17,21.9
234,1,10,18,21.9
235,1,10,19,19.0
236,1,10,20,16.0
237,1,10,21,14.0
238,1,10,22,12.0
239,1,10,23,12.0
240,1,11,0,10.9
241,1,11,1,10.0
242,1,11,2,10.0
243,1,11,3,9.0
244,1,11,4,9.0
245,1,11,5,8.1
246,1,11,6,8.1
247,1,11,7,8.1
248,1,11,8,10.0
249,1,11,9,12.9
250,1,11,10,15.1
251,1,11,11,16.0
252,1,11,12,18.0
253,1,11,13,19.0
254,1,11,14,19.0
255,1,11,15,19.9
256,1,11,16,21.9
257,1,11,17,23.0
258,1,11,18,24.1
259,1,11,19,25.0
260,1,11,20,23.0
261,1,11,21,19.9
262,1,11,22,19.9
263,1,11,23,19.9
264,1,12,0,19.0
265,1,12,1,16.0
266,1,12,2,16.0
267,1,12,3,16.0
268,1,12,4,16.0
269,1,12,5,15.1
270,1,12,6,15.1
271,1,12,7,15.1
272,1,12,8,15.1
273,1,12,9,15.1
274,1,12,10,16.0
275,1,12,11,18.0
276,1,12,12,18.0
277,1,12,13,19.9
278,1,12,14,21.0
279,1,12,15,19.9
280,1,12,16,19.0
281,1,12,17,19.0
282,1,12,18,19.0
283,1,12,19,19.0
284,1,12,20,18.0
285,1,12,21,17.1
286,1,12,22,18.0
287,1,12,23,17.1
288,1,13,0,15.1
289,1,13,1,17.1
290,1,13,2,12.9
291,1,13,3,10.9
292,1,13,4,14.0
293,1,13,5,15.1
294,1,13,6,12.9
295,1,13,7,14.0
296,1,13,8,17.1
297,1,13,9,19.0
298,1,13,10,24.1
299,1,13,11,25.0
300,1,13,12,27.0
301,1,13,13,30.9
302,1,13,14,30.9
303,1,13,15,32.0
304,1,13,16,34.0
305,1,13,17,34.0
306,1,13,18,34.0
307,1,13,19,36.0
308,1,13,20,36.0
309,1,13,21,37.0
310,1,13,22,39.0
311,1,13,23,41.0
312,1,14,0,45.0
313,1,14,1,46.9
314,1,14,2,48.9
315,1,14,3,50.0
316,1,14,4,50.0
317,1,14,5,50.0
318,1,14,6,48.9
319,1,14,7,43.0
320,1,14,8,42.1
321,1,14,9,42.1
322,1,14,10,43.0
323,1,14,11,42.1
324,1,14,12,42.1
325,1,14,13,41.0
326,1,14,14,46.9
327,1,14,15,39.9
328,1,14,16,39.0
329,1,14,17,37.0
330,1,14,18,36.0
331,1,14,19,36.0
332,1,14,20,35.1
333,1,14,21,34.0
334,1,14,22,34.0
335,1,14,23,32.0
336,1,15,0,30.9
337,1,15,1,30.9
338,1,15,2,30.0
339,1,15,3,30.0
340,1,15,4,30.0
341,1,15,5,28.9
342,1,15,6,28.9
343,1,15,7,28.9
344,1,15,8,28.9
345,1,15,9,28.9
346,1,15,10,30.0
347,1,15,11,28.9
348,1,15,12,28.9
349,1,15,13,30.0
350,1,15,14,30.0
351,1,15,15,28.9
352,1,15,16,28.0
353,1,15,17,28.0
354,1,15,18,26.1
355,1,15,19,25.0
356,1,15,20,25.0
357,1,15,21,25.0
358,1,15,22,24.1
359,1,15,23,24.1
360,1,16,0,25.0
361,1,16,1,24.1
362,1,16,2,23.0
363,1,16,3,23.0
364,1,16,4,23.0
365,1,16,5,23.0
366,1,16,6,23.0
367,1,16,7,24.1
368,1,16,8,25.0
369,1,16,9,27.0
370,1,16,10,30.0
371,1,16,11,33.1
372,1,16,12,34.0
373,1,16,13,36.0
374,1,16,14,36.0
375,1,16,15,37.0
376,1,16,16,37.0
377,1,16,17,37.0
378,1,16,18,37.9
379,1,16,19,39.0
380,1,16,20,37.0
381,1,16,21,37.9
382,1,16,22,37.0
383,1,16,23,35.1
384,1,17,0,34.0
385,1,17,1,32.0
386,1,17,2,30.9
387,1,17,3,30.9
388,1,17,4,30.9
389,1,17,5,30.0
390,1,17,6,28.9
391,1,17,7,28.0
392,1,17,8,27.0
393,1,17,9,26.1
394,1,17,10,25.0
395,1,17,11,27.0
396,1,17,12,27.0
397,1,17,13,27.0
398,1,17,14,27.0
399,1,17,15,24.1
400,1,17,16,21.9
401,1,17,17,19.9
402,1,17,18,18.0
403,1,17,19,17.1
404,1,17,20,16.0
405,1,17,21,15.1
406,1,17,22,14.0
407,1,17,23,12.0
408,1,18,0,10.9
409,1,18,1,10.0
410,1,18,2,9.0
411,1,18,3,8.1
412,1,18,4,7.0
413,1,18,5,6.1
414,1,18,6,6.1
415,1,18,7,5.0
416,1,18,8,5.0
417,1,18,9,7.0
418,1,18,10,10.0
419,1,18,11,12.0
420,1,18,12,15.1
421,1,18,13,18.0
422,1,18,14,18.0
423,1,18,15,18.0
424,1,18,16,16.0
425,1,18,17,12.9
426,1,18,18,10.9
427,1,18,19,10.0
428,1,18,20,8.1
429,1,18,21,7.0
430,1,18,22,7.0
431,1,18,23,6.1
432,1,19,0,6.1
433,1,19,1,6.1
434,1,19,2,6.1
435,1,19,3,6.1
436,1,19,4,6.1
437,1,19,5,5.0
438,1,19,6,5.0
439,1,19,7,5.0
440,1,19,8,6.1
441,1,19,9,12.0
442,1,19,10,16.0
443,1,19,11,19.9
444,1,19,12,21.0
445,1,19,13,21.9
446,1,19,14,23.0
447,1,19,15,23.0
448,1,19,16,23.0
449,1,19,17,21.9
450,1,19,18,21.9
451,1,19,19,21.0
452,1,19,20,21.9
453,1,19,21,21.9
454,1,19,22,21.0
455,1,19,23,21.0
456,1,20,0,21.0
457,1,20,1,21.0
458,1,20,2,21.0
459,1,20,3,23.0
460,1,20,4,23.0
461,1,20,5,25.0
462,1,20,6,27.0
463,1,20,7,28.0
464,1,20,8,28.9
465,1,20,9,30.9
466,1,20,10,34.0
467,1,20,11,34.0
468,1,20,12,34.0
469,1,20,13,33.1
470,1,20,14,32.0
471,1,20,15,32.0
472,1,20,16,32.0
473,1,20,17,32.0
474,1,20,18,30.9
475,1,20,19,30.0
